trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.68974745915264,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",30,0,-216.8320148085226,"{0: 18, 1: 2, 2: 3, 3: 4, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-120.10810441765803,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-173.36541873981758,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-78.97310247525009,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-194.01357844299454,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-85.93448580272887,"{0: 17, 1: 1, 2: 4, 3: 3, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,4.298571369897591,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-153.76620285548336,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,6,-85.09091436235944,"{0: 5, 1: 5, 2: 3, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.9048374180359596}",25,0,-8.255412489687853,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8958341352965282}",25,0,-178.37297428538528,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-108.98181751909937,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,0,-123.11884362695768,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8693582353988059}",30,8,-78.86085154456579,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,8,-56.70138943779861,"{0: 6, 1: 1, 2: 4, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-32.79567319014239,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8436648165963837}",30,0,-155.1261745830452,"{0: 15, 1: 4, 2: 8, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-220.1531356106982,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 5}",0
20,False,"{'a': 0.5, 'e': 0.8269591339433623}",30,0,-130.0062919299013,"{0: 16, 1: 6, 2: 6, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8187307530779818}",30,0,-155.41807633015608,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8105842459701871}",20,0,-29.1744537720955,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.8025187979624785}",25,0,-40.28045130291123,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.794533602503334}",20,0,-55.57207902889159,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7866278610665535}",20,0,-44.603713175204916,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7788007830714049}",30,0,-74.97670096361666,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.7710515858035663}",20,0,-39.76645542831138,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.7633794943368531}",20,0,-175.5673047566495,"{0: 8, 1: 1, 2: 8, 3: 1, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,4,-96.48007518881515,"{0: 9, 1: 0, 2: 5, 3: 1, 4: 1}",1
